transaction_id,amount,location,merchant,description
TXN001,12000,Offshore-Cayman,Unknown,Large transfer to offshore account with no prior transaction history
TXN002,45,New York,Amazon,Normal online purchase using saved card
TXN003,9800,Ukraine,CryptoExchange,High-value crypto transaction from high-risk region
TXN004,15,California,Starbucks,Routine coffee purchase
TXN005,15000,Singapore,Unknown,Multiple failed authentication attempts followed by large transfer
TXN006,300,London,Apple,Standard electronics purchase from known device
TXN007,25000,Russia,Unknown,Transaction initiated from sanctioned country IP address
TXN008,60,Bangalore,Swiggy,Normal food delivery transaction
TXN009,7200,Nigeria,Unknown,International transfer flagged due to suspicious routing
TXN010,110,New York,Uber,Ride payment with usual spending pattern
TXN011,18500,Hong Kong,Unknown,Unusual late-night transfer to newly added beneficiary
TXN012,90,Berlin,Amazon,Standard e-commerce purchase
TXN013,5000,Dubai,CryptoExchange,Crypto purchase just below reporting threshold
TXN014,20,San Francisco,Netflix,Monthly subscription renewal
TXN015,30000,Offshore-Panama,Unknown,Shell company account transfer detected
TXN016,55,Mumbai,Zomato,Routine food order from mobile app
TXN017,8200,Turkey,Unknown,Cross-border transfer with mismatched device fingerprint
TXN018,240,Paris,Decathlon,Sporting goods purchase
TXN019,17000,China,Unknown,Large transaction from new device and IP address
TXN020,35,Delhi,BookMyShow,Movie ticket booking
TXN021,45000,Russia,Unknown,Repeated high-value transfers over short duration
TXN022,125,Tokyo,Amazon,Normal purchase using two-factor authentication
TXN023,9200,Philippines,Unknown,Transaction shows velocity anomaly across accounts
TXN024,18,Bangalore,UberEats,Small food purchase with consistent behavior
TXN025,6700,Estonia,CryptoExchange,Crypto withdrawal using privacy-focused wallet
TXN026,200,Chicago,Target,Retail purchase in usual location
TXN027,15500,Offshore-BVI,Unknown,Account linked to prior money laundering case
TXN028,75,London,Spotify,Monthly music subscription
TXN029,8800,South Africa,Unknown,Unrecognized merchant with international routing
TXN030,28,Hyderabad,Swiggy,Normal lunch order
TXN031,22000,Iran,Unknown,Transaction from embargoed jurisdiction
TXN032,95,Sydney,Amazon,Standard shopping transaction
TXN033,41000,Offshore-Cayman,Unknown,Rapid fund movement across multiple offshore accounts
TXN034,150,Bangalore,Flipkart,Routine electronics accessory purchase
TXN035,7600,Mexico,Unknown,Unusual merchant category for customer profile
TXN036,12,Pune,IRCTC,Train ticket booking
TXN037,19500,Hong Kong,Unknown,Large transfer following account password reset
TXN038,85,Chennai,Uber,Standard ride payment
TXN039,50000,Offshore-Panama,Unknown,Layering pattern observed across shell entities
TXN040,40,Noida,Dominos,Regular food purchase with no anomalies
TXN041,6400,Brazil,Unknown,Cross-border transfer with inconsistent IP geolocation
TXN042,70,Los Angeles,Spotify,Monthly subscription payment
TXN043,8900,Vietnam,Unknown,Merchant category mismatch for user spending profile
TXN044,22,Bangalore,BigBasket,Grocery purchase from known device
TXN045,16000,Qatar,Unknown,High-value remittance to newly added beneficiary
